gene_id	HSMM.longNonPolyA	BJ.longNonPolyA	NHEK.longNonPolyA	HSMM.longPolyA	MCF.7.longNonPolyA	HUVEC.longNonPolyA	K562.longNonPolyA	BJ.longPolyA	AG04450.longNonPolyA	NHEK.longPolyA	HUVEC.longPolyA	MCF.7.longPolyA	HMEC.longNonPolyA	K562.longPolyA	AG04450.longPolyA	HMEC.longPolyA	NHEK.longNonPolyA.1	HEPG2.longNonPolyA	NHEK.longPolyA.1	HEPG2.longPolyA	SK.N.SH_RA.longNonPolyA	A549.longNonPolyA	SK.N.SH_RA.longPolyA	H1.HESC.longNonPolyA	A549.longPolyA	NHLF.longNonPolyA	H1.HESC.longPolyA	GM12878.longNonPolyA	HELA.S3.longNonPolyA	NHLF.longPolyA	HELA.S3.longPolyA	GM12878.longPolyA	entropyExpr	sumExpr	varianceExpr	averageExpr	minExpr	maxExpr	maxExprType	threeTimesRest	nTimesRest	tissSpec	HSMM.longNonPolyA.ExprLabel	BJ.longNonPolyA.ExprLabel	NHEK.longNonPolyA.ExprLabel	HSMM.longPolyA.ExprLabel	MCF.7.longNonPolyA.ExprLabel	HUVEC.longNonPolyA.ExprLabel	K562.longNonPolyA.ExprLabel	BJ.longPolyA.ExprLabel	AG04450.longNonPolyA.ExprLabel	NHEK.longPolyA.ExprLabel	HUVEC.longPolyA.ExprLabel	MCF.7.longPolyA.ExprLabel	HMEC.longNonPolyA.ExprLabel	K562.longPolyA.ExprLabel	AG04450.longPolyA.ExprLabel	HMEC.longPolyA.ExprLabel	NHEK.longNonPolyA.1.ExprLabel	HEPG2.longNonPolyA.ExprLabel	NHEK.longPolyA.1.ExprLabel	HEPG2.longPolyA.ExprLabel	SK.N.SH_RA.longNonPolyA.ExprLabel	A549.longNonPolyA.ExprLabel	SK.N.SH_RA.longPolyA.ExprLabel	H1.HESC.longNonPolyA.ExprLabel	A549.longPolyA.ExprLabel	NHLF.longNonPolyA.ExprLabel	H1.HESC.longPolyA.ExprLabel	GM12878.longNonPolyA.ExprLabel	HELA.S3.longNonPolyA.ExprLabel	NHLF.longPolyA.ExprLabel	HELA.S3.longPolyA.ExprLabel	GM12878.longPolyA.ExprLabel	expressed	transcriptType	geneType	gene_id_short	external_gene_id	withinSubset	gene_biotype	lncRnaName	label
ENSG00000142396.4	0.011936	0.017179	0.019371	0.987595	0.031837	0.066065	0.082315	0.998668	0.029796	1.260115	0.435009	0.534944	0.020297	0.881281	0.564473	0.843679	0.110898	0.162652	0.627124	0.33754	0.025139	0.050424	0.658281	0.124269	1.096949	0.008877	0.30858	0.073916	0.276084	0.891287	1.378885	0.612295	4.25498467875174	13.52776	0.180238228064774	0.4227425	0.008877	1.378885	HELA.S3.longPolyA	none	1.09425330227797	0.131121193453243	mid	high	high	high	high	high	high	high	high	high	high	high	mid	high	high	high	high	high	high	high	high	high	high	high	high	mid	high	high	high	high	high	high	yes	unknown	derrienLncRNA	ENSG00000142396	ENSG00000142396	rest	nonFunctional	ENSG00000142396	0
ENSG00000144596.7	0.001059	0.000473	0	0.011699	0.000235	5.7e-05	3.1e-05	0.00655	8.4e-05	0.000469	0.000142	0.000323	0	0.00018	0.000315	0.000569	0.001048	0.000719	0.000846	0.0014	0.001371	0.000687	0.011482	0.014032	0.004613	0.000321	0.066074	0	0.002015	0.00466	0.000759	0	2.73271341074047	0.132213	0.00014143890661996	0.00413165625	0	0.066074	H1.HESC.longPolyA	H1.HESC.longPolyA	4.70880843785633	0.44190237621855	low	low	none	low	low	low	low	low	low	low	low	low	none	low	low	low	low	low	low	low	low	low	mid	mid	low	low	mid	none	low	low	low	none	yes	unknown	derrienLncRNA	ENSG00000144596	ENSG00000144596	rest	nonFunctional	ENSG00000144596	0
ENSG00000151303.9	7.6e-05	0.000827	0.000278	0.013246	0.002107	0.00068	0.001275	0.081819	0.000269	0.08018	0.000691	0.021915	0.001143	0.00766	0.009474	0.312623	0.00435	0.003713	0.046019	0	0.000257	0.000617	0.00168	0.000917	0.004154	0.000123	0.005654	0.001034	0.004188	0.127804	0.001417	0.001177	2.72359551632899	0.737367	0.00365285024569254	0.02304271875	0	0.312623	HMEC.longPolyA	none	2.44611279772151	0.388024918534246	low	low	low	low	low	low	low	mid	low	mid	low	mid	low	low	low	high	low	low	mid	none	low	low	low	low	low	low	low	low	low	mid	low	low	yes	unknown	derrienLncRNA	ENSG00000151303	ENSG00000151303	rest	nonFunctional	ENSG00000151303	0
ENSG00000152487.5	0.000268	0.002735	0.001209	0.019482	0.004338	0.008556	0.008885	0.076879	0.011647	0.045837	0.029127	0.025559	0.013901	0.024169	0.010406	0	0.010902	0.021116	0.010493	0.028292	0.005559	0.013027	0.030759	0.011023	0.009401	0	0.020797	0.008327	0.022367	0.025234	0.006574	0.029872	4.46507089545348	0.536741	0.000241851324652218	0.01677315625	0	0.076879	BJ.longPolyA	none	1.67722582193425	0.170043170502115	low	mid	low	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	low	none	mid	mid	mid	mid	mid	mid	mid	low	mid	none	mid	mid	mid	mid	low	mid	yes	unknown	derrienLncRNA	ENSG00000152487	ENSG00000152487	rest	nonFunctional	ENSG00000152487	0
ENSG00000152931.6	0	0	0	0.000159	0	0	0	0.000664	4.3e-05	0.03095	0	0	0	0.000116	0	0.017419	0.012252	0.007923	0.03358	0.062748	0.024966	0.000628	0.183971	0	0.010944	0	0	6.9e-05	0.005835	0.000693	0	0	2.54096977968349	0.39296	0.0011721741236129	0.01228	0	0.183971	SK.N.SH_RA.longPolyA	none	2.93190221202269	0.419477324432133	none	none	none	low	none	none	none	low	low	low	none	none	none	low	none	low	mid	low	mid	mid	high	low	high	none	mid	none	none	low	low	low	none	none	yes	unknown	derrienLncRNA	ENSG00000152931	ENSG00000152931	rest	nonFunctional	ENSG00000152931	0
ENSG00000153363.8	0.001021	0.00291	0	0.245193	0.000341	0.002657	0.013228	0.079502	0.00327	0.16935	0.013458	0.100501	0	0.229076	0.049783	0.088795	0.008022	0.01145	0.091345	0.028385	0.003256	0.004428	0.130708	0.015956	0.131965	0	0.018224	0.009231	0.015488	0.235638	0.057785	0.160492	3.93593912616599	1.921458	0.00588631253954435	0.0600455625	0	0.245193	HSMM.longPolyA	none	1.04054948692486	0.155724420980944	low	mid	none	mid	low	low	mid	mid	mid	mid	low	mid	none	high	mid	mid	low	mid	mid	mid	mid	mid	mid	mid	mid	none	mid	mid	mid	mid	mid	high	yes	unknown	derrienLncRNA	ENSG00000153363	ENSG00000153363	rest	nonFunctional	ENSG00000153363	0
ENSG00000160336.10	0.000912	0.008792	0.001625	0.224053	0.007734	0.019691	0.111957	0.135583	0.016311	0.138245	0.124339	0.1637	0.009352	0.137164	0.160441	0.121134	0.107874	0.013014	0.105344	0.118065	0.008909	0.018064	0.064651	0.239258	0.183759	0.002959	0.070466	0.060051	0.036819	0.192927	0.113266	0.155996	4.4684755559193	2.872455	0.00521013213249899	0.08976421875	0.000912	0.239258	H1.HESC.longNonPolyA	none	1.0678634073188	0.112222237047445	low	mid	low	mid	mid	mid	high	mid	mid	mid	mid	high	mid	mid	mid	mid	high	mid	mid	mid	mid	high	mid	high	high	mid	mid	high	mid	mid	mid	high	yes	unknown	derrienLncRNA	ENSG00000160336	ENSG00000160336	rest	nonFunctional	ENSG00000160336	0
ENSG00000163364.4	0.000185	0.00057	0	0.01001	0.003462	0.006593	0	0.040439	0.000706	0.012598	0.145041	0.039804	0	0	0.036723	0.07113	0	0	0.002542	0	0.072344	0.005339	1.668399	0	0.131009	0	0.004462	0	0	0.022846	0	0	1.67269862984247	2.274202	0.0863188404755766	0.0710688125	0	1.668399	SK.N.SH_RA.longPolyA	SK.N.SH_RA.longPolyA	11.5029474424473	0.615277277414317	low	low	none	low	low	low	none	mid	low	low	mid	mid	none	none	mid	mid	none	none	low	none	high	mid	high	none	mid	none	low	none	none	mid	none	none	yes	unknown	derrienLncRNA	ENSG00000163364	ENSG00000163364	rest	nonFunctional	ENSG00000163364	0
ENSG00000167117.3	0	0	0	0	0.00069	0	0	0	0	0	0	0.000334	0	0	0	0	0	0	0	0.000397	7.5e-05	0.00024	0	0.000333	0.000732	0	0	0	0	0	0	0	2.57807078424973	0.002801	3.90331602822581e-08	8.753125e-05	0	0.000732	A549.longPolyA	none	1.06086956521739	0.26802950596686	none	none	none	none	low	none	none	none	none	none	none	low	none	none	none	none	none	none	none	low	low	low	none	low	low	none	none	none	none	none	none	none	yes	unknown	derrienLncRNA	ENSG00000167117	ENSG00000167117	rest	nonFunctional	ENSG00000167117	0
ENSG00000170590.4	0.001188	0.000192	0	0.0074	0.004194	0.020937	0.003833	0.028832	0.000679	0.007584	0.022124	0.012267	0	0.01656	0.007563	0.003453	0.010103	0.011848	0.012868	0.015918	0.001034	0.000219	0.048709	0.010031	0.008791	0.001088	0.008455	0.010975	0.016014	0.011496	0.007739	0.008367	4.37031105836686	0.320461	0.000100477952958669	0.01001440625	0	0.048709	SK.N.SH_RA.longPolyA	none	1.68940760266371	0.177891296816502	low	low	none	low	mid	mid	mid	mid	low	low	mid	mid	none	mid	low	low	mid	mid	mid	mid	low	low	mid	low	mid	low	low	mid	mid	low	low	mid	yes	unknown	derrienLncRNA	ENSG00000170590	ENSG00000170590	rest	nonFunctional	ENSG00000170590	0
ENSG00000170846.10	0.00287	0.003449	0.0016	0.27011	0.012428	0.013263	0.086916	0.170825	0.005977	0.260087	0.130054	0.459826	0.00789	1.0507	0.156013	0.107761	0.011698	0.020981	0.163345	0.170641	0.003587	0.004774	0.114785	0.03908	0.160678	0.002022	0.276868	0.008352	0.030252	0.420223	0.1008	0.064488	3.87260967243096	4.332343	0.0427424322258861	0.13538571875	0.0016	1.0507	K562.longPolyA	none	2.28499475888706	0.253314775943172	mid	mid	low	mid	mid	mid	high	mid	mid	mid	mid	high	mid	high	mid	mid	mid	mid	mid	high	mid	mid	mid	mid	high	low	high	mid	mid	mid	mid	mid	yes	unknown	derrienLncRNA	ENSG00000170846	ENSG00000170846	rest	nonFunctional	ENSG00000170846	0
ENSG00000170858.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000209	0	0	0	0	0	0	0	0	0	0.00025	0	0.000186	0	0.00058	1.8267987352408	0.001225	1.38800796370968e-08	3.828125e-05	0	0.00058	GM12878.longPolyA	none	2.32	0.423241949740534	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	low	none	none	none	none	none	none	none	none	none	low	none	low	none	low	yes	unknown	derrienLncRNA	ENSG00000170858	ENSG00000170858	rest	nonFunctional	ENSG00000170858	0
ENSG00000172250.10	0.001779	0.004176	0.003086	0.012329	0.003729	0.011089	0.109231	0.039296	0.003195	0.028499	0.018343	0.002764	0	0.436124	0.039578	0.012318	0.007116	0.003303	0.015398	0.010985	0.00372	0.001142	0.046742	0.039586	0.002989	0.002552	0.073232	0.001691	0.001688	0.028999	0	0.002587	3.12953028766288	0.967266	0.00606657488302823	0.0302270625	0	0.436124	K562.longPolyA	K562.longPolyA	3.99267607181112	0.407196552574544	low	mid	low	low	low	mid	high	mid	mid	low	low	low	none	high	mid	low	low	low	mid	mid	mid	low	mid	mid	low	low	mid	low	low	mid	none	low	yes	unknown	derrienLncRNA	ENSG00000172250	ENSG00000172250	rest	nonFunctional	ENSG00000172250	0
ENSG00000172965.6	0.098732	0.061048	0.0759	0.572213	0.119092	0.32513	0.226037	1.811593	0.192335	1.644592	6.295786	0.192066	0.036121	0.984972	2.772247	1.326691	0.195804	0.364168	1.235708	1.587063	0.047113	0.083399	0.186904	0.194528	0.444248	0.078848	0.078167	0.044311	0.421056	2.185928	0.36892	0.044893	3.81249102649576	24.295613	1.54160562279628	0.75923790625	0.036121	6.295786	HUVEC.longPolyA	none	2.27100471206209	0.266319434834404	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	mid	mid	high	high	high	mid	yes	unknown	derrienLncRNA	ENSG00000172965	ENSG00000172965	rest	nonFunctional	ENSG00000172965	0
ENSG00000174365.14	0.005262	0.004291	0.004258	0.106526	0.008243	0.00905	0.011857	0.249408	0.002855	0.158382	0.184128	0.045045	0.000472	0.069113	0.093911	0.139406	0.016577	0.033637	0.067192	0.090589	0.006947	0.005176	0.111205	0.025605	0.108048	0.00397	0.115325	0.021551	0.043733	0.115889	0.089888	0.033635	4.28591714268661	1.981174	0.00395281720164113	0.0619116875	0.000472	0.249408	BJ.longPolyA	none	1.35453597497393	0.154121647261676	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	low	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	yes	unknown	derrienLncRNA	ENSG00000174365	ENSG00000174365	rest	nonFunctional	ENSG00000174365	1
ENSG00000175061.9	0.253456	0.94031	0.313398	7.205593	0.47604	1.420304	2.532488	13.000591	1.257486	9.500962	10.775242	2.310394	0.414121	7.263851	6.522184	5.055433	3.628265	3.155861	9.03354	5.182054	0.437721	1.021725	3.833852	4.323878	5.884465	0.270282	8.08754	1.864538	3.092723	12.96945	5.745345	3.231916	4.48395565893637	141.005008	14.021354036575	4.4064065	0.253456	13.000591	BJ.longPolyA	none	1.00240110413317	0.121379085216499	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	yes	unknown	derrienLncRNA	ENSG00000175061	ENSG00000175061	rest	nonFunctional	ENSG00000175061	0
ENSG00000175147.7	0	2.5e-05	0.001457	0.00012	0.002541	0.000715	0	0.000185	0.000816	0.026859	0.000663	0.005525	0.004711	0.000163	0.005827	0.014188	0.008407	0.033901	0.019556	0.079884	0.007212	0.001387	0.051648	0.013297	0.008241	0	0.009458	0.000434	0.025429	0.001001	0.001209	0.000747	3.59208778470496	0.325606	0.000303092548350806	0.0101751875	0	0.079884	HEPG2.longPolyA	none	1.54670074349442	0.255533131294832	none	low	low	low	low	low	none	low	low	low	low	low	low	low	low	low	low	mid	mid	mid	mid	low	mid	mid	mid	none	low	low	mid	low	low	low	yes	unknown	derrienLncRNA	ENSG00000175147	ENSG00000175147	rest	nonFunctional	ENSG00000175147	0
ENSG00000175164.7	0	0	0	0	0	0.000486	0.002252	0	0	0	0	0	0	0.020544	0	0	0	0	0	0	0	0	0	0	0	0	0.00131	0	0	0	0	0	0.86982954903551	0.024592	1.32316381935484e-05	0.0007685	0	0.020544	K562.longPolyA	K562.longPolyA	9.12255772646536	0.703968166464405	none	none	none	none	none	low	low	none	none	none	none	none	none	mid	none	none	none	none	none	none	none	none	none	none	none	none	low	none	none	none	none	none	yes	unknown	derrienLncRNA	ENSG00000175164	ENSG00000175164	rest	nonFunctional	ENSG00000175164	0
ENSG00000175513.4	0.000296	0	0	0.001233	0	0	0	0	0	0	0.000522	0.000277	0	0.000151	0.000752	0	0	0.000373	0	0.000673	0	0	0.000527	0.01077	0	0	0.039325	0	0.000419	0.00125	0	0.00016	1.5700759741483	0.056728	5.0550414e-05	0.00177275	0	0.039325	H1.HESC.longPolyA	H1.HESC.longPolyA	3.65134633240483	0.583408788672991	low	none	none	low	none	none	none	none	none	none	low	low	none	low	low	none	none	low	none	low	none	none	low	low	none	none	mid	none	low	low	none	low	yes	unknown	derrienLncRNA	ENSG00000175513	ENSG00000175513	rest	nonFunctional	ENSG00000175513	0
ENSG00000175611.6	0.004412	0.001898	0.00268	0.054801	0.028016	0.010908	0.00307	0.04337	0.008194	0.295836	0.110082	0.087166	0.000761	0.015292	0.087374	0.185687	0.010698	0.019216	0.171798	0.154263	0.020049	0.000841	0.114241	0.020476	0.020107	0.000419	0.025384	0.008198	0.017254	0.152457	0.112931	0.137767	4.07869384494681	1.925646	0.00527928302586694	0.0601764375	0.000419	0.295836	NHEK.longPolyA	none	1.59319715435114	0.179340139525184	mid	low	low	mid	high	mid	mid	mid	mid	mid	mid	mid	low	mid	mid	mid	mid	mid	mid	high	high	low	mid	mid	mid	low	mid	mid	mid	mid	mid	high	yes	unknown	derrienLncRNA	ENSG00000175611	ENSG00000175611	rest	nonFunctional	ENSG00000175611	0
ENSG00000175699.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000394	0	0.00069	0	0.000964	0	0	0	0	0	0	0	0.000166	0.00095	0	0	0.000759	2.41858390339547	0.003923	8.34139909274194e-08	0.00012259375	0	0.000964	HEPG2.longPolyA	none	1.01473684210526	0.255840685951494	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	low	none	low	none	low	none	none	none	none	none	none	none	low	low	none	none	low	yes	unknown	derrienLncRNA	ENSG00000175699	ENSG00000175699	rest	nonFunctional	ENSG00000175699	0
ENSG00000175701.6	0.020233	0.020015	0.010697	0.107092	0.014734	0.0138	0.012673	0.262263	0.004745	0.10139	0.19907	0.032212	0.004428	0.127547	0.031377	0.131705	0.05587	0.081855	0.184363	0.09567	0.014616	0.01749	0.098099	0.065299	0.132551	0.011926	0.240751	0.020761	0.063648	0.073196	0.030345	0.04151	4.39273485650093	2.321931	0.00497994321384577	0.07256034375	0.004428	0.262263	BJ.longPolyA	none	1.08935373061794	0.141861463096784	high	high	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	low	mid	mid	mid	mid	mid	mid	mid	mid	high	mid	mid	mid	mid	high	mid	mid	mid	mid	mid	yes	unknown	derrienLncRNA	ENSG00000175701	ENSG00000175701	rest	nonFunctional	ENSG00000175701	0
ENSG00000175772.10	5.9e-05	0.001351	0.003028	0.005118	0.044517	0.023568	0	0.045152	0.001048	0.127742	0.100983	0.904883	0.000209	0	0.007619	0.012879	0.029722	0.030575	0.144461	0.002407	0.000793	0.041076	0.004628	0.012122	0.350475	0.000415	0.019976	0.000797	0.018639	0.018831	0.073831	0.006777	2.90962774598531	2.033681	0.0282226512325796	0.06355253125	0	0.904883	MCF.7.longPolyA	none	2.58187602539411	0.402974989591609	low	low	low	low	high	mid	none	mid	low	mid	mid	high	low	none	low	low	mid	mid	mid	low	low	high	low	mid	high	low	mid	low	mid	low	mid	mid	yes	unknown	derrienLncRNA	ENSG00000175772	ENSG00000175772	rest	nonFunctional	ENSG00000175772	0
