filename	dccAccession	size	cell	antibody	dataType	view	geoSampleAccession	md5sum	dateSubmitted	lab	dataVersion	url	softwareVersion	exprdir	controlId	type	grant	setType	control	dateUnrestricted	spikeInPool	composite	replicate	labExpId	readType	seqPlatform	bioRep	localization	project	tableName	rnaExtract	treatment	protocol	dateResubmitted	origAssembly	labProtocolId	labVersion	strand	objStatus	subId	geoSampleAccesion	#N/A
wgEncodeHaibTfbsSknshraP300V0416102Aln_2Reps.norm5.rawsignal.bw	wgEncodeEH001616	1.5G	SK-N-SH_RA	p300	ChipSeq	Signal	GSM803495	e16c064519db9eb91692c2dfe314cd0f	2010-12-17	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeHaibTfbsSknshraP300V0416102Aln_2Reps.norm5.rawsignal.bw	Wiggler	bigwig	SL2905	bigWig	Myers	exp						SL2910								None	v041610.2									
wgEncodeSydhTfbsGm12878NfkbIggrabAln_4Reps.norm5.rawsignal.bw	wgEncodeEH000690	852M	GM12878	NFKB	ChipSeq	Signal	GSM935478	fa1cf725aec3a0ebfb6d93f02b3e1ddb	2010-12-02	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeSydhTfbsGm12878NfkbIggrabAln_4Reps.norm5.rawsignal.bw	Wiggler	bigwig	wgEncodeEH002034	bigWig	Snyder	exp	IgG-rab													None										
spp.optimal.wgEncodeSydhTfbsK562bGata2UcdAlnRep0_VS_wgEncodeSydhTfbsK562bInputUcdAlnRep1.bb	wgEncodeEH000683	610K	K562b	GATA-2	ChipSeq	Peaks	GSM935373	da616154e8c0bd6211a1850ed4965e4e	2010-12-02	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeSydhTfbsK562bGata2UcdAlnRep0_VS_wgEncodeSydhTfbsK562bInputUcdAlnRep1.bb	SPP	hub	wgEncodeEH000672	bigBed	Snyder	exp	UCDavis													None										
wgEncodeSydhTfbsHepg2InputPravastStdAln_3Reps.norm5.rawsignal.bw	wgEncodeEH000640	1.5G	HepG2	Input	ChipSeq	Signal	GSM935313	e4c1c297e97906907851bf51796945aa	2010-12-02	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeSydhTfbsHepg2InputPravastStdAln_3Reps.norm5.rawsignal.bw	Wiggler	bigwig	wgEncodeEH000640	bigWig	Snyder	input	std													pravastatin										
wgEncodeSydhTfbsHepg2JundIggrabAln_2Reps.norm5.rawsignal.bw	wgEncodeEH001801	1.3G	HepG2	JunD	ChipSeq	Signal	GSM935649	42e277becedfea613d9ff9885ba480ce	2010-06-11	Stanford	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeSydhTfbsHepg2JundIggrabAln_2Reps.norm5.rawsignal.bw	Wiggler	bigwig	wgEncodeEH001791	bigWig	Snyder	exp	IgG-rab													None										
wgEncodeSydhTfbsH1hescInputUcdAln_1Reps.norm5.rawsignal.bw	wgEncodeEH001751	1.4G	H1-hESC	Input	ChipSeq	Signal	GSM935353	0d0a6ed45da2972cca82c3d3c7fa565f	2010-12-06	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeSydhTfbsH1hescInputUcdAln_1Reps.norm5.rawsignal.bw	Wiggler	bigwig	wgEncodeEH001751	bigWig	Snyder	input	UCDavis													None										
spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.bb	wgEncodeEH001774	1.8M	HUVEC	c-Fos	ChipSeq	Peaks	GSM935585	f1b1e50a0d7748f0de107b3b19b6b40a	2011-01-13	UCD	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.bb	SPP	hub	wgEncodeEH001759	bigBed	Snyder	exp	UCDavis													None										
spp.optimal.wgEncodeHaibTfbsGm12878RxraPcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb	wgEncodeEH001541	418K	GM12878	RXRA	ChipSeq	Peaks	GSM803341	06b96cdeb8eb22373030a16ae42ce058	2010-06-07	HudsonAlpha	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12878RxraPcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.bb	SPP	hub	SL516	bigBed	Myers	exp						SL1063								None	PCR1x									
peakSeq.optimal.wgEncodeUwTfbsWerirb1CtcfStdAlnRep0_vs_wgEncodeUwTfbsWerirb1InputStdAlnRep1.bb	wgEncodeEH000402	2.0M	WERI-Rb-1	CTCF	ChipSeq	Peaks	GSM749768,GSM749679	f40bb53ea678ce0d84b14c9caf37b9e4	2009-07-02	UW	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeUwTfbsWerirb1CtcfStdAlnRep0_vs_wgEncodeUwTfbsWerirb1InputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000475	bigBed	Stam	exp	std															2010-06-10								
wgEncodeUwHistoneGm12878H3k36me3StdAln.bb	wgEncodeEH000445	2.6M	GM12878	H3K36me3	ChipSeq	Peaks	GSM945212	e7a6b80b7f1a47d0e0906ad89884eb68	2009-10-22	UW	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/histone_macs/optimal/hub/wgEncodeUwHistoneGm12878H3k36me3StdAln.bb	MACS	hub	wgEncodeEH000463	bigBed	Stam	exp	std															2010-06-14	hg18							
spp.optimal.wgEncodeHaibTfbsH1hescP300Pcr1xAlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.bb	wgEncodeEH001574	434K	H1-hESC	p300	ChipSeq	Peaks	GSM803542	05d204ec9bc48b2171ef2760a0935c77	2010-09-27	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsH1hescP300Pcr1xAlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.bb	SPP	hub	SL1398	bigBed	Myers	exp						SL1883								None	v041610.2									
wgEncodeUwHistoneAg10803H3k4me3StdAln_2Reps.norm5.rawsignal.bw	wgEncodeEH000935	506M	AG10803	H3K4me3	ChipSeq	Signal	GSM945172	501063455662baeecbb5a942bab1e1ae	2010-10-23	UW	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeUwHistoneAg10803H3k4me3StdAln_2Reps.norm5.rawsignal.bw	Wiggler	bigwig	wgEncodeEH000936	bigWig	Stam	exp	std																							
wgEncodeBroadHistoneGm12878H2azStdAln_2Reps.norm5.rawsignal.bw	wgEncodeEH001033	796M	GM12878	H2A.Z	ChipSeq	Signal	GSM733767	f53737cb986a0d3edd6caa27813c1337	2010-11-16	Broad	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeBroadHistoneGm12878H2azStdAln_2Reps.norm5.rawsignal.bw	Wiggler	bigwig	wgEncodeEH000037	bigWig	Bernstein	exp	std																							
spp.optimal.wgEncodeHaibTfbsGm12891Yy1c20V0416101AlnRep0_VS_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.bb	wgEncodeEH001573	858K	GM12891	YY1_(C-20)	ChipSeq	Peaks	GSM803535	f52b127bc91a06d43ebffe397b25dc28	2010-09-27	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeHaibTfbsGm12891Yy1c20V0416101AlnRep0_VS_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.bb	SPP	hub	SL1782	bigBed	Myers	exp						SL2388								None	v041610.1									
wgEncodeUwHistoneHct116H3k4me3StdAln.bb	wgEncodeEH000949	1.7M	HCT-116	H3K4me3	ChipSeq	Peaks	GSM945304	a76c9879c7813f2491b775e3a6adbd17	2010-10-23	UW	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/histone_macs/optimal/hub/wgEncodeUwHistoneHct116H3k4me3StdAln.bb	MACS	hub	wgEncodeEH000950	bigBed	Stam	exp	std																hg19							
wgEncodeHaibTfbsGm12892Pol24h8Pcr1xAln_2Reps.norm5.rawsignal.bw	wgEncodeEH001512	1.3G	GM12892	Pol2-4H8	ChipSeq	Signal	GSM803490	409cdd52174f73b36734e89acc57c93d	2010-01-11	HudsonAlpha	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeHaibTfbsGm12892Pol24h8Pcr1xAln_2Reps.norm5.rawsignal.bw	Wiggler	bigwig	SL818	bigWig	Myers	exp						SL911								None	PCR1x	2010-06-07								
peakSeq.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_vs_wgEncodeUwTfbsHreInputStdAlnRep1.bb	wgEncodeEH000405	3.0M	HRE	CTCF	ChipSeq	Peaks	GSM749727,GSM749737	9221a4286f65f9e60e12648149298092	2009-09-21	UW	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_vs_wgEncodeUwTfbsHreInputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000467	bigBed	Stam	exp	std															2010-06-10								
wgEncodeUwHistoneH7esH3k4me3StdAln.bb	wgEncodeEH000925	1.9M	H7-hESC	H3K4me3	ChipSeq	Peaks	GSM945185	8c43bce94b29b15d3dcd61437caab0a8	2010-07-24	UW	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/histone_macs/optimal/hub/wgEncodeUwHistoneH7esH3k4me3StdAln.bb	MACS	hub	wgEncodeEH000926	bigBed	Stam	exp	std																hg19							
peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	wgEncodeEH001505	658K	HeLa-S3	TAF1	ChipSeq	Peaks	GSM803455	e9b22c458f3e20416c64c6427ec58122	2009-12-18	HudsonAlpha	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.bb	PeakSeq	hub	SL592	bigBed	Myers	exp						SL590								None	PCR1x	2010-06-07								
peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	wgEncodeEH001608	2.1M	HepG2	Rad21	ChipSeq	Peaks	GSM803517	c22c2e1391068ad8c59358b705d601b0	2010-12-06	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	PeakSeq	hub	SL1781	bigBed	Myers	exp						SL3179								None	v041610.1									
wgEncodeSydhHistoneNt2d1H3k4me1UcdAln_2Reps.norm5.rawsignal.bw	wgEncodeEH000917	777M	NT2-D1	H3K4me1	ChIP-seq	Signal	GSM788083	62cead97d2ce5a9551345f876c4510ea	2010-06-22	UCD	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeSydhHistoneNt2d1H3k4me1UcdAln_2Reps.norm5.rawsignal.bw	Wiggler	bigwig	wgEncodeEH000654	bigWig	Snyder	exp	UCDavis													None										
spp.optimal.wgEncodeSydhTfbsK562NfyaStdAlnRep0_VS_wgEncodeSydhTfbsK562InputStdAlnRep0.bb	wgEncodeEH002021	714K	K562	NF-YA	ChipSeq	Peaks	GSM935433	e9b2aa2a0379585cdc4a9a7ecfc3130b	2010-12-02	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeSydhTfbsK562NfyaStdAlnRep0_VS_wgEncodeSydhTfbsK562InputStdAlnRep0.bb	SPP	hub	wgEncodeEH000615	bigBed	Snyder	exp	std													None										
wgEncodeUwHistoneHl60H3k4me3StdAln_2Reps.norm5.rawsignal.bw	wgEncodeEH000418	406M	HL-60	H3K4me3	ChipSeq	Signal	GSM945222	fe9d5376d60d0ff28b18bcb3a1672588	2009-10-12	UW	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeUwHistoneHl60H3k4me3StdAln_2Reps.norm5.rawsignal.bw	Wiggler	bigwig	wgEncodeEH000465	bigWig	Stam	exp	std															2010-06-15								
wgEncodeOpenChromChipGm19238CtcfAln_2Reps.norm5.rawsignal.bw	wgEncodeEH000570	1.1G	GM19238	CTCF	ChipSeq	Signal	GSM822278	92a26c87426afbf9480f6bc77c4ea45a	2009-10-06	UT-A	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeOpenChromChipGm19238CtcfAln_2Reps.norm5.rawsignal.bw	Wiggler	bigwig	generic_female	bigWig	Crawford	exp																2010-06-16								
wgEncodeUwDnaseHGF.fdr01peaks.hg19.bb	wgEncodeEH000504	2.6M	HGF		DnaseSeq	Peaks	GSM736579,GSM736576	31af2c4acf48d38149957d9586f4963a		UW	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/openchrom/jan2011/fdrPeaks/wgEncodeUwDnaseHGF.fdr01peaks.hg19.bb	HotSpot	fdrPeaks		bigBed																										
spp.optimal.wgEncodeSydhTfbsGm12878JundStdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.bb	wgEncodeEH000639	362K	GM12878	JunD	ChipSeq	Peaks	GSM935541	0e38a3850371fdbdd1d01d92debe2b68	2010-12-02	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/spp/optimal/hub/spp.optimal.wgEncodeSydhTfbsGm12878JundStdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.bb	SPP	hub	wgEncodeEH000625	bigBed	Snyder	exp	std													None										
peakSeq.optimal.wgEncodeUwTfbsGm12875CtcfStdAlnRep0_vs_wgEncodeUwTfbsGm12875InputStdAlnRep1.bb	wgEncodeEH000452	1.7M	GM12875	CTCF	ChipSeq	Peaks	GSM749764,GSM749670	2b9c235e1e9aaae9027cd69f647b06c7	2010-01-11	UW	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeUwTfbsGm12875CtcfStdAlnRep0_vs_wgEncodeUwTfbsGm12875InputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000462	bigBed	Stam	exp	std															2010-06-15								
wgEncodeSydhTfbsMcf10aesStat3Etoh01bStdAln_2Reps.norm5.rawsignal.bw	wgEncodeEH001871	1.2G	MCF10A-Er-Src	STAT3	ChipSeq	Signal		ce4dea5e752446aa373a60a328def2c7	2011-01-14	Harvard(Weissman)	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeSydhTfbsMcf10aesStat3Etoh01bStdAln_2Reps.norm5.rawsignal.bw	Wiggler	bigwig	wgEncodeEH001870	bigWig	Snyder	exp	std													EtOH_0.01pct_4hr										
peakSeq.optimal.wgEncodeUwTfbsAg04449CtcfStdAlnRep0_vs_wgEncodeUwTfbsAg04449InputStdAlnRep1.bb	wgEncodeEH000975	1.4M	AG04449	CTCF	ChipSeq	Peaks	GSM749695,GSM749678	7bfaf46b470f0be4129728e78d8ad08e	2010-10-22	UW	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeUwTfbsAg04449CtcfStdAlnRep0_vs_wgEncodeUwTfbsAg04449InputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000928	bigBed	Stam	exp	std																							
peakSeq.optimal.wgEncodeUwTfbsGm12864CtcfStdAlnRep0_vs_wgEncodeUwTfbsGm12864InputStdAlnRep1.bb	wgEncodeEH000447	1.8M	GM12864	CTCF	ChipSeq	Peaks	GSM749676,GSM749762	e170ba771bee8c2a4a5341237400084b	2010-01-11	UW	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeUwTfbsGm12864CtcfStdAlnRep0_vs_wgEncodeUwTfbsGm12864InputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000457	bigBed	Stam	exp	std															2010-06-08								
wgEncodeUwTfbsHuvecInputStdAln_1Reps.norm5.rawsignal.bw	wgEncodeEH000468	1.8G	HUVEC	Input	ChipSeq	Signal	GSM749758	fe051becaeda5bad6a99844349f32022	2010-02-18	UW	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/signal/jan2011/bigwig/wgEncodeUwTfbsHuvecInputStdAln_1Reps.norm5.rawsignal.bw	Wiggler	bigwig	wgEncodeEH000468	bigWig	Stam	input	std															2010-06-10								
HelaS3_Nucleus_Short_RNA_CSHL_Contig.CSHL_LID21144-011N-r1.LID21147-012N-r2.idrFilt0.1.bb	wgEncodeEH001088	242K	HeLa-S3		RnaSeq	Contigs	GSM897080	a5e44eb3326f6d7cf44ab62fa22f49c0		CSHL	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/rna_elements/jan2011/ShortRnaSeq/HelaS3_Nucleus_Short_RNA_CSHL_Contig.CSHL_LID21144-011N-r1.LID21147-012N-r2.idrFilt0.1.bb		ShortRnaSeq		bigBed	Gingeras						pooled	LID21144,LID21147			011N,012N	nucleus			shortTotal				.	011Ns,012Ns	iIDR					
