gene_id_short	gene_id	HSMM.longNonPolyA	BJ.longNonPolyA	NHEK.longNonPolyA	HSMM.longPolyA	MCF.7.longNonPolyA	HUVEC.longNonPolyA	K562.longNonPolyA	BJ.longPolyA	AG04450.longNonPolyA	NHEK.longPolyA	HUVEC.longPolyA	MCF.7.longPolyA	HMEC.longNonPolyA	K562.longPolyA	AG04450.longPolyA	HMEC.longPolyA	NHEK.longNonPolyA.1	HEPG2.longNonPolyA	NHEK.longPolyA.1	HEPG2.longPolyA	SK.N.SH_RA.longNonPolyA	A549.longNonPolyA	SK.N.SH_RA.longPolyA	H1.HESC.longNonPolyA	A549.longPolyA	NHLF.longNonPolyA	H1.HESC.longPolyA	GM12878.longNonPolyA	HELA.S3.longNonPolyA	NHLF.longPolyA	HELA.S3.longPolyA	GM12878.longPolyA	entropyExpr	sumExpr	varianceExpr	averageExpr	minExpr	maxExpr	maxExprType	threeTimesRest	nTimesRest	tissSpec	HSMM.longNonPolyA.ExprLabel	BJ.longNonPolyA.ExprLabel	NHEK.longNonPolyA.ExprLabel	HSMM.longPolyA.ExprLabel	MCF.7.longNonPolyA.ExprLabel	HUVEC.longNonPolyA.ExprLabel	K562.longNonPolyA.ExprLabel	BJ.longPolyA.ExprLabel	AG04450.longNonPolyA.ExprLabel	NHEK.longPolyA.ExprLabel	HUVEC.longPolyA.ExprLabel	MCF.7.longPolyA.ExprLabel	HMEC.longNonPolyA.ExprLabel	K562.longPolyA.ExprLabel	AG04450.longPolyA.ExprLabel	HMEC.longPolyA.ExprLabel	NHEK.longNonPolyA.1.ExprLabel	HEPG2.longNonPolyA.ExprLabel	NHEK.longPolyA.1.ExprLabel	HEPG2.longPolyA.ExprLabel	SK.N.SH_RA.longNonPolyA.ExprLabel	A549.longNonPolyA.ExprLabel	SK.N.SH_RA.longPolyA.ExprLabel	H1.HESC.longNonPolyA.ExprLabel	A549.longPolyA.ExprLabel	NHLF.longNonPolyA.ExprLabel	H1.HESC.longPolyA.ExprLabel	GM12878.longNonPolyA.ExprLabel	HELA.S3.longNonPolyA.ExprLabel	NHLF.longPolyA.ExprLabel	HELA.S3.longPolyA.ExprLabel	GM12878.longPolyA.ExprLabel	expressed	transcriptType	geneType	label	lncRnaName	LncRNA_tx_size
ENSG00000204091	ENSG00000204091.3	0	0	0	0.000601	0	0	0.001211	0	0	0	0	0.00021	0	0.016046	0	0	0	0	0	0	0	0	0	0.010498	0.000179	0	0.028822	0	0	0	0	0	1.70249088902746	0.057567	3.53784655796371e-05	0.00179896875	0	0.028822	H1.HESC.longPolyA	none	1.79621089368067	0.442551940437591	none	none	none	low	none	none	low	none	none	none	none	low	none	mid	none	none	none	none	none	none	none	none	none	low	low	none	mid	none	none	none	none	none	yes	unknown	derrienLncRNA	1	TDRG1	959.5
ENSG00000204528	ENSG00000204528.3	0	0	0	0	0	0	0	0	0	0.002794	0	0	0.020333	0	0	0.007238	0.001578	0.014824	0.001707	0.013511	0	0.001435	0	0.001982	0.008671	0	0	0.001135	0.007456	0	0.00456	0.009778	3.32548660197782	0.097002	2.71529502862903e-05	0.0030313125	0	0.020333	HMEC.longNonPolyA	none	1.37162709120345	0.226891531614817	none	none	none	none	none	none	none	none	none	low	none	none	mid	none	none	low	low	mid	low	mid	none	low	none	low	mid	none	none	low	low	none	low	mid	yes	unknown	derrienLncRNA	1	PSORS1C3	593
ENSG00000214049	ENSG00000214049.3	0	0	0.001834	0	0.002149	0.011816	0.432778	0	0	0.035574	0.000421	0.006841	0.006354	2.810339	0	0.111599	0.003341	0.565137	0.010682	0.020821	0	0	0	0	0	0	0.000581	9.3e-05	0.629138	0.000379	2.456848	0.000331	2.12552533745719	7.107056	0.428150569672903	0.2220955	0	2.810339	K562.longPolyA	none	1.14387988186489	0.367576520781299	none	none	low	none	low	mid	high	none	none	low	low	mid	low	high	none	mid	low	high	mid	mid	none	none	none	none	none	none	low	low	high	low	high	low	yes	unknown	derrienLncRNA	1	UCA1	2313
ENSG00000214548	ENSG00000214548.7	0.026833	0.070414	0.00016	0.698287	0.000548	0.722478	0	2.347396	0.19907	0.186098	1.953851	6.4e-05	0.041477	0.000305	1.963067	0.406251	0.019196	0	0.101033	0.000965	0.000257	0.043269	0.003701	0.000574	0.432577	0.069909	0.000183	0.002893	0	1.393215	0	0.007637	3.13422910893623	10.691708	0.419710708587016	0.334115875	0	2.347396	BJ.longPolyA	none	1.19577986894996	0.234971590000452	high	high	low	high	low	high	none	high	high	mid	high	low	high	low	high	high	mid	none	mid	low	low	high	low	low	high	high	low	low	none	high	none	mid	yes	unknown	derrienLncRNA	1	MEG3	2389.7
ENSG00000215417	ENSG00000215417.4	0	0.000992	0.000378	0.009397	0.002588	0.010032	0.404231	0.008212	0.003073	0.029612	0.026847	0.042325	0.003837	2.170712	0.016262	0.011865	0.011569	0.030899	0.030399	0.022014	0.004363	0.003368	0.034363	0.075514	0.070498	0	0.141162	0.041206	0.036295	0.011562	0.284965	0.208571	2.47819226659216	3.747111	0.148479453219596	0.11709721875	0	2.170712	K562.longPolyA	K562.longPolyA	5.36997904663423	0.498741614332937	none	low	low	low	low	mid	high	low	mid	low	mid	mid	low	high	mid	low	mid	mid	mid	mid	mid	mid	mid	mid	mid	none	mid	mid	mid	low	high	high	yes	unknown	derrienLncRNA	1	MIR17HG	931
ENSG00000223573	ENSG00000223573.1	0.000573	0.000158	0.011936	0.0046	0.10595	0	0.001406	0.007125	5.8e-05	0.245402	0.000852	0.453814	0.003736	0.005464	0.001149	0.116075	0.097592	0.035594	0.274703	0.006438	0.001329	0.002671	0.008801	0.008328	0.01465	7.1e-05	0.013165	0.00138	0.021362	0.002992	0.070125	0.004226	3.12717864608022	1.521725	0.0100324921497651	0.04755390625	0	0.453814	MCF.7.longPolyA	none	1.6520169055307	0.296221119526976	low	low	mid	low	high	none	low	low	low	mid	low	high	low	low	low	mid	high	mid	high	low	low	mid	low	low	mid	low	mid	low	mid	low	mid	low	yes	unknown	derrienLncRNA	1	TINCR	3733
ENSG00000224032	ENSG00000224032.2	0.008441	0.014027	0.004459	0.265918	0.028009	0.041007	0.058759	1.49019	0.026132	0.261845	0.594923	0.312358	0.000249	0.55356	0.463811	0.15594	0.014795	0.209824	0.387433	0.416586	0.013835	0.04983	0.351078	0.109191	0.693347	0.002842	1.652817	0.019327	0.149949	0.184361	0.28155	0.344638	4.00661916571242	9.161031	0.152088368177596	0.28628221875	0.000249	1.652817	H1.HESC.longPolyA	none	1.10913172145834	0.202569769621841	mid	mid	mid	mid	high	mid	high	high	high	mid	high	high	low	high	high	mid	mid	high	high	high	mid	high	high	high	high	low	high	mid	high	mid	high	high	yes	unknown	derrienLncRNA	1	EPB41L4A-AS1	1301.5
ENSG00000224177	ENSG00000224177.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004584	0	0	0	0	0	0	0.000473	0	0	0	0.001549	0.001599	0.014599	0	1.52555113071605	0.022804	7.1959060483871e-06	0.000712625	0	0.014599	HELA.S3.longPolyA	HELA.S3.longPolyA	3.18477312390925	0.543268892436594	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	low	none	none	none	none	none	none	low	none	none	none	low	low	mid	none	yes	unknown	derrienLncRNA	1	LINC00570	440.25
ENSG00000224805	ENSG00000224805.1	0	0	0	0.003	0.000796	0	0.00525	0.008573	0	0.011511	0.005246	0.008676	0	0.019262	0.001162	0.012578	0	0.002392	0.002692	0.005696	0.000728	0.00083	0.012914	0	0.004908	0	0.001885	0.002218	0	0.009138	0.018618	0	3.89578087078975	0.138073	3.08681497893145e-05	0.00431478125	0	0.019262	K562.longPolyA	none	1.03459018154474	0.166667160294383	none	none	none	low	low	none	mid	low	none	low	low	mid	none	mid	low	low	none	low	low	low	low	low	mid	none	low	none	low	low	none	low	mid	none	yes	unknown	derrienLncRNA	1	LINC00853	479
ENSG00000225407	ENSG00000225407.3	0	0.000258	0	0.002829	0	0.017498	0.000441	0.006786	0.001375	0.001313	0.030649	0.000508	0	0.001911	0.00585	0.000837	0.002456	0	0.00326	0	0.00437	0.000132	0.007113	0.002644	0.00207	0	0.001162	0.002734	0	0.010601	0	0.004196	3.59266249391696	0.110993	3.85089396118952e-05	0.00346853125	0	0.030649	HUVEC.longPolyA	none	1.75157160818379	0.279437229422293	none	low	none	low	none	mid	low	low	low	low	mid	low	none	low	low	low	low	none	low	none	mid	low	low	low	low	none	low	low	none	low	none	low	yes	unknown	derrienLncRNA	1	CTD-2384B11.2	600
ENSG00000225470	ENSG00000225470.1	0.002564	0.003652	0.002898	0.098415	0.008622	0.021596	0.033573	0.159355	0.007537	0.259645	0.257564	0.129728	0.004606	0.106628	0.110957	0.157274	0.029216	0.02616	0.113604	0.059349	0.012185	0.008283	0.158555	0.063703	0.115774	0.00317	0.167403	0.024645	0.034741	0.252134	0.181402	0.126525	4.33811458043452	2.741463	0.00658420366975706	0.08567071875	0.002564	0.259645	NHEK.longPolyA	none	1.00807954527807	0.123917952515749	mid	mid	low	mid	mid	mid	mid	mid	mid	mid	mid	high	low	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	high	mid	mid	mid	high	mid	yes	unknown	derrienLncRNA	1	JPX	1050.66666666667
ENSG00000225506	ENSG00000225506.1	0	0.003699	0	0.01482	0	0.0096	0.017185	0.023877	0	0.049909	0	0.025178	0	0.030522	0.004451	0.020748	0.002347	0.022071	0.040079	0.006496	0.004604	0.001411	0.038779	0.067245	0.007937	0	0.034625	0.006561	0.020084	0.019745	0.055403	0.018734	4.20014518185758	0.54611	0.00032536856296371	0.0170659375	0	0.067245	H1.HESC.longNonPolyA	none	1.21374293810804	0.151540892857776	none	mid	none	low	none	mid	mid	low	none	mid	none	mid	none	mid	low	low	low	mid	mid	low	mid	low	mid	mid	mid	none	mid	mid	mid	low	mid	mid	yes	unknown	derrienLncRNA	1	CYP4A22-AS1	363
ENSG00000225783	ENSG00000225783.2	6.4e-05	0.002114	0.001122	0.002981	0.001041	0.003895	0.002584	0.086236	0.025051	0.00014	0.003352	0.001468	0.001146	0.00824	0.146885	0.000683	0.005175	0.00167	0.003539	0.000848	0.042182	0.004819	0.348013	0.210632	0.019956	0.000984	0.484292	0.007963	0.00247	0.092459	0.00337	0.012065	2.92609104873293	1.527439	0.0118673839154183	0.04773246875	6.4e-05	0.484292	H1.HESC.longPolyA	none	1.39159169341375	0.310334014978262	low	mid	low	low	low	low	low	mid	high	low	low	low	low	mid	mid	low	low	low	low	low	high	mid	high	high	mid	low	high	mid	low	mid	low	mid	yes	unknown	derrienLncRNA	1	MIAT	2458.33333333333
ENSG00000225937	ENSG00000225937.1	0.000618	0	0	0.000376	0	0	0	0	0	0	0.000384	0	0	0.000122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82510337542638	0.0015	1.98492741935484e-08	4.6875e-05	0	0.000618	HSMM.longNonPolyA	none	1.609375	0.37946551795945	low	none	none	low	none	none	none	none	none	none	low	none	none	low	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	yes	unknown	derrienLncRNA	1	PCA3	3922
ENSG00000225978	ENSG00000225978.1	0	8.2e-05	0	0.000391	0.000731	0.000161	0	0.008719	5.2e-05	0.005022	0.000445	0.000567	0	0	0.000436	0.001601	0.000268	0	0.001623	0.000293	3.6e-05	0.000289	0.000454	0	0.001364	0	0	0	0.000366	0.001689	0.000184	0.001077	3.27496839024367	0.02585	3.01543828629032e-06	0.0008078125	0	0.008719	BJ.longPolyA	none	1.73616089207487	0.325313527679104	none	low	none	low	low	low	none	low	low	low	low	low	none	none	low	low	low	none	low	low	low	low	low	none	low	none	none	none	low	low	low	low	yes	unknown	derrienLncRNA	1	HAR1A	1882
ENSG00000226367	ENSG00000226367.1	0.00165	0	0	0	0	0	0	0	0	0	0	0	0	0.000213	0	0	0	0.000638	0	0	0	0	0.000564	0	0	0	0	0	0	0	0	0.000362	1.97930281949061	0.003427	1.05065894153226e-07	0.00010709375	0	0.00165	HSMM.longNonPolyA	none	2.58620689655172	0.42892193805774	low	none	none	none	none	none	none	none	none	none	none	none	none	low	none	none	none	low	none	none	none	none	low	none	none	none	none	none	none	none	none	low	yes	unknown	derrienLncRNA	1	ST7-AS2	1018.33333333333
ENSG00000226950	ENSG00000226950.2	0.060265	0.055641	0.048383	2.103862	0.268492	0.652851	0.830114	2.425434	0.186107	3.966735	8.782073	1.400861	0.046179	4.425707	1.946175	2.714701	0.383106	1.592711	1.086884	2.684769	0.046483	0.090466	0.872096	6.039325	0.749307	0.041839	21.983448	0.860299	0.77063	1.889322	2.330588	1.94699	3.77725078634573	73.281843	16.6311971458101	2.29005759375	0.041839	21.983448	H1.HESC.longPolyA	none	2.50321854532523	0.297548183913377	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	high	yes	unknown	derrienLncRNA	1	DANCR	686.5
ENSG00000227199	ENSG00000227199.1	0.00038	0.000951	0.000373	0.039137	0.001326	0.003886	0.006307	0.043665	0.002611	0.027521	0.033791	0.016611	0	0.0427	0.022188	0.015948	0.000801	0.0145	0.012177	0.023502	0.005559	0.001552	0.089663	0.016768	0.008713	0.001574	0.045412	0.002181	0.015121	0.045608	0.025936	0.004785	4.19999540760437	0.571247	0.000402117186321573	0.01785146875	0	0.089663	SK.N.SH_RA.longPolyA	none	1.96594895632345	0.182282958600481	low	low	low	mid	low	low	mid	mid	mid	low	mid	mid	none	mid	mid	low	low	mid	mid	mid	mid	low	mid	mid	mid	low	mid	low	mid	mid	mid	low	yes	unknown	derrienLncRNA	1	ST7-AS1	1889
ENSG00000227418	ENSG00000227418.1	0	0	0	0	0	0	0	0	0	0	0	0.001458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001458	6.6430125e-08	4.55625e-05	0	0.001458	MCF.7.longPolyA	MCF.7.longPolyA	Inf	1	none	none	none	none	none	none	none	none	none	none	none	low	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	yes	unknown	derrienLncRNA	1	PCGEM1	1590
ENSG00000228126	ENSG00000228126.1	0	0.000247	0.000311	0.009315	0	0.002664	0.010037	0.011717	0.000872	0	0.001629	0.007624	0	0.016486	0.003394	0.001774	0.000891	0.001238	0.007223	0.011624	0.001464	0.000388	0.018463	0.005076	0.006612	0.000418	0.008551	0.001251	0.005737	0.009876	0.002129	0.005988	4.21024174939246	0.152999	2.5693495015121e-05	0.00478121875	0	0.018463	SK.N.SH_RA.longPolyA	none	1.11991993206357	0.149222489229315	none	low	low	low	none	low	mid	low	low	none	low	mid	none	mid	low	low	low	low	low	mid	low	low	mid	low	low	low	low	low	low	low	low	mid	yes	unknown	derrienLncRNA	1	LINC00568	566
ENSG00000228288	ENSG00000228288.1	0.001726	0.002827	0.001397	0.124024	0.009444	0.002031	0.00156	0.108311	0.004747	0.083314	0.064178	0.025139	0.001364	0.023872	0.05401	0.061545	0.012534	0.030695	0.037496	0.058075	0.003384	0.002158	0.132458	0.020153	0.027601	0.000124	0.314778	0.00339	0.01439	0.023511	0.001345	0.005559	3.80874795806253	1.25714	0.00391360911979032	0.039285625	0.000124	0.314778	H1.HESC.longPolyA	none	2.37643630433798	0.259500280593584	low	mid	low	mid	mid	low	low	mid	mid	mid	mid	mid	low	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	mid	low	high	low	mid	mid	low	mid	yes	unknown	derrienLncRNA	1	KDM5B-AS1	691
ENSG00000228630	ENSG00000228630.1	0.00105	0.002229	0.001819	0.199148	0.002613	0	5.4e-05	0.437619	0	0.111925	0	0.133374	0	0.000776	0.000109	0.007079	0.002405	0.002162	0.06433	0	0	0.000307	0.000373	0.000129	0.008403	0	0	0	0.007817	0	0.117344	0	2.53295705779083	1.101065	0.0077973456283377	0.03440828125	0	0.437619	BJ.longPolyA	none	2.19745616325547	0.369029644570637	low	mid	low	mid	low	none	low	high	none	mid	none	high	none	low	low	low	low	low	mid	none	none	low	low	low	mid	none	none	none	mid	none	mid	none	yes	unknown	derrienLncRNA	1	HOTAIR	1006.6
ENSG00000229807	ENSG00000229807.3	0	0.000483	0.04639	0.000676	0.000374	0.006807	0.44711	0.000534	0.001612	0.866614	0.000707	0.002746	0.074673	1.510311	0.000794	0.653207	1.130535	0.018649	1.516105	0.000464	0.630002	0.000285	3.410267	0.001909	0.000629	0.028714	0.000817	1.487888	0.014794	0.64367	0.056454	4.159434	3.20779845605613	16.713654	0.983031176029641	0.5223016875	0	4.159434	GM12878.longPolyA	none	1.21967986670838	0.258302766636073	none	low	high	low	low	mid	high	low	low	high	low	low	high	high	low	high	high	mid	high	low	high	low	high	low	low	high	low	high	mid	high	mid	high	yes	unknown	derrienLncRNA	1	XIST	3058.625
ENSG00000229847	ENSG00000229847.1	0	0.004291	0.00324	0.000977	0	0	0	0.022409	0	0.050198	0	0	0	0	0	0	0.004195	0	0.024711	0	0	0.00093	0	0	0.000491	0	0.001303	0	0	0	0	0.001216	2.25311348150947	0.113961	0.000105759164982863	0.00356128125	0	0.050198	NHEK.longPolyA	none	2.03140301889847	0.399797349001139	none	mid	low	low	none	none	none	low	none	mid	none	none	none	none	none	none	low	none	mid	none	none	low	none	none	low	none	low	none	none	none	none	low	yes	unknown	derrienLncRNA	1	EMX2OS	535.2
ENSG00000230223	ENSG00000230223.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000179	0	0	0.000179	1.00128125e-09	5.59375e-06	0	0.000179	HELA.S3.longPolyA	HELA.S3.longPolyA	Inf	1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	low	none	yes	unknown	derrienLncRNA	1	ATXN8OS	1094.5
ENSG00000230590	ENSG00000230590.1	0.013824	0.033598	0.004433	0.07364	0.03075	0.329307	0.082937	0.136965	0.057131	0.071128	0.137089	0.051443	0.007991	0.046247	0.07652	0.029507	0.159259	0.227297	0.050189	0.075643	0.07722	0.05063	0.114971	0.387372	0.074751	0.009362	0.058384	0.17233	0.179058	0.092227	0.152824	0.056693	4.51857875375699	3.12072	0.00771382523129032	0.0975225	0.004433	0.387372	H1.HESC.longNonPolyA	none	1.17632482759249	0.152474445877557	mid	high	mid	mid	high	high	high	mid	high	mid	mid	mid	mid	mid	mid	mid	high	high	mid	mid	high	high	mid	high	mid	mid	mid	high	high	mid	mid	mid	yes	unknown	derrienLncRNA	1	FTX	960.4
