filename	dccAccession	size	cell	antibody	dataType	view	filename	localfile	geoSampleAccession	md5sum	dateSubmitted	lab	dataVersion	url	softwareVersion	exprdir	controlId	type	dateResubmitted	grant	setType	control	labExpId	treatment	protocol
peakSeq.optimal.wgEncodeSydhTfbsK562NelfeStdAlnRep0_vs_wgEncodeSydhTfbsK562InputStdAlnRep0.bb	wgEncodeEH000701	338K	K562	NELFe	ChipSeq	Peaks	peakSeq.optimal.wgEncodeSydhTfbsK562NelfeStdAlnRep0_vs_wgEncodeSydhTfbsK562InputStdAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeSydhTfbsK562NelfeStdAlnRep0_vs_wgEncodeSydhTfbsK562InputStdAlnRep0.bb	GSM935392	98d0ead2f3b35d212889dcb89d1e325c	2010-12-02	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeSydhTfbsK562NelfeStdAlnRep0_vs_wgEncodeSydhTfbsK562InputStdAlnRep0.bb	PeakSeq	hub	wgEncodeEH000615	bigBed		Snyder	exp	std		None	
peakSeq.optimal.wgEncodeSydhTfbsGm12878Stat1StdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.bb	wgEncodeEH001852	242K	GM12878	STAT1	ChipSeq	Peaks	peakSeq.optimal.wgEncodeSydhTfbsGm12878Stat1StdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeSydhTfbsGm12878Stat1StdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.bb	GSM935612	55ddfe8d8fdd4f69ffa9bcd063775c91	2011-01-20	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeSydhTfbsGm12878Stat1StdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000625	bigBed		Snyder	exp	std		None	
peakSeq.optimal.wgEncodeHaibTfbsGm12878Atf3Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.bb	wgEncodeEH001562	402K	GM12878	ATF3	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsGm12878Atf3Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsGm12878Atf3Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.bb	GSM803508	ca7ce8bdba2c18fbbe4ea3ac1d7abae4	2010-09-15	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsGm12878Atf3Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.bb	PeakSeq	hub	SL1613	bigBed		Myers	exp		SL1269	None	PCR1x
peakSeq.optimal.wgEncodeSydhTfbsHelas3Spt20StdAlnRep0_vs_wgEncodeSydhTfbsHelas3InputStdAlnRep1.bb	wgEncodeEH001855	314K	HeLa-S3	SPT20	ChipSeq	Peaks	peakSeq.optimal.wgEncodeSydhTfbsHelas3Spt20StdAlnRep0_vs_wgEncodeSydhTfbsHelas3InputStdAlnRep1.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeSydhTfbsHelas3Spt20StdAlnRep0_vs_wgEncodeSydhTfbsHelas3InputStdAlnRep1.bb	GSM935615	4191a899c0506129d3763f5251ff334c	2011-01-20	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeSydhTfbsHelas3Spt20StdAlnRep0_vs_wgEncodeSydhTfbsHelas3InputStdAlnRep1.bb	PeakSeq	hub	wgEncodeEH000612	bigBed		Snyder	exp	std		None	
peakSeq.optimal.wgEncodeHaibTfbsHepg2Pol2Pcr2xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr2xAlnRep0.bb	wgEncodeEH001550	882K	HepG2	Pol2	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsHepg2Pol2Pcr2xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr2xAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsHepg2Pol2Pcr2xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr2xAlnRep0.bb	GSM803368	a80ddf0fa987703f9ea019863e6f3962	2010-06-21	HudsonAlpha	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsHepg2Pol2Pcr2xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr2xAlnRep0.bb	PeakSeq	hub	SL294	bigBed		Myers	exp		SL348	None	PCR2x
peakSeq.optimal.wgEncodeHaibTfbsK562Pol2V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.bb	wgEncodeEH001633	970K	K562	Pol2	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsK562Pol2V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsK562Pol2V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.bb	GSM803410	b5fc4de430c3d9761526a8606e930eb8	2011-01-06	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsK562Pol2V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.bb	PeakSeq	hub	SL2455	bigBed		Myers	exp		SL3819	None	v041610.1
peakSeq.optimal.wgEncodeSydhTfbsHelas3Brg1IggmusAlnRep0_vs_wgEncodeSydhTfbsHelas3InputIggmusAlnRep0.bb	wgEncodeEH000781	242K	HeLa-S3	Brg1	ChipSeq	Peaks	peakSeq.optimal.wgEncodeSydhTfbsHelas3Brg1IggmusAlnRep0_vs_wgEncodeSydhTfbsHelas3InputIggmusAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeSydhTfbsHelas3Brg1IggmusAlnRep0_vs_wgEncodeSydhTfbsHelas3InputIggmusAlnRep0.bb	GSM935511	90c84119513399305fb8705d1822cf5f	2010-12-02	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeSydhTfbsHelas3Brg1IggmusAlnRep0_vs_wgEncodeSydhTfbsHelas3InputIggmusAlnRep0.bb	PeakSeq	hub	wgEncodeEH000633	bigBed		Snyder	exp	IgG-mus		None	
peakSeq.optimal.wgEncodeSydhTfbsHepg2Srebp2PravastStdAlnRep0_vs_wgEncodeSydhTfbsHepg2InputPravastStdAlnRep0.bb	wgEncodeEH000643	74K	HepG2	SREBP2	ChipSeq	Peaks	peakSeq.optimal.wgEncodeSydhTfbsHepg2Srebp2PravastStdAlnRep0_vs_wgEncodeSydhTfbsHepg2InputPravastStdAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeSydhTfbsHepg2Srebp2PravastStdAlnRep0_vs_wgEncodeSydhTfbsHepg2InputPravastStdAlnRep0.bb	GSM935314	1fe5ed5b2f219c3a8ad5ca01d4bde629	2010-12-02	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeSydhTfbsHepg2Srebp2PravastStdAlnRep0_vs_wgEncodeSydhTfbsHepg2InputPravastStdAlnRep0.bb	PeakSeq	hub	wgEncodeEH000640	bigBed		Snyder	exp	std		pravastatin	
peakSeq.optimal.wgEncodeSydhTfbsK562Brg1IggmusAlnRep0_vs_wgEncodeSydhTfbsK562InputIggmusAlnRep0.bb	wgEncodeEH000724	314K	K562	Brg1	ChipSeq	Peaks	peakSeq.optimal.wgEncodeSydhTfbsK562Brg1IggmusAlnRep0_vs_wgEncodeSydhTfbsK562InputIggmusAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeSydhTfbsK562Brg1IggmusAlnRep0_vs_wgEncodeSydhTfbsK562InputIggmusAlnRep0.bb	GSM935633	bbe07e3d11652e8b284d573c09edad25	2010-12-02	Stanford	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeSydhTfbsK562Brg1IggmusAlnRep0_vs_wgEncodeSydhTfbsK562InputIggmusAlnRep0.bb	PeakSeq	hub	wgEncodeEH000726	bigBed		Snyder	exp	IgG-mus		None	
peakSeq.optimal.wgEncodeHaibTfbsH1hescSrfPcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.bb	wgEncodeEH001533	442K	H1-hESC	SRF	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsH1hescSrfPcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsH1hescSrfPcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.bb	GSM803425	d437da939e32b39ca65a09dacbea513d	2010-04-27	HudsonAlpha	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsH1hescSrfPcr1xAlnRep0_vs_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.bb	PeakSeq	hub	SL969	bigBed		Myers	exp		SL1483	None	PCR1x
peakSeq.optimal.wgEncodeHaibTfbsGm12878Pol2Pcr2xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr2xAlnRep0.bb	wgEncodeEH001463	1.5M	GM12878	Pol2	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsGm12878Pol2Pcr2xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr2xAlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsGm12878Pol2Pcr2xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr2xAlnRep0.bb	GSM803355	f38fa0875d0d7d2a7e4148c359c499ce	2008-11-20	HudsonAlpha	ENCODE June 2010 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsGm12878Pol2Pcr2xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr2xAlnRep0.bb	PeakSeq	hub	SL217	bigBed	2010-06-21	Myers	exp		SL207	None	PCR2x
peakSeq.optimal.wgEncodeHaibTfbsGm12878Elf1sc631V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.bb	wgEncodeEH001617	1.2M	GM12878	ELF1_-SC-631-	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsGm12878Elf1sc631V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsGm12878Elf1sc631V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.bb	GSM803496	33a45d07b99621d434b24f7efe01a851	2010-12-22	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsGm12878Elf1sc631V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.bb	PeakSeq	hub	SL1613	bigBed		Myers	exp		SL2253	None	v041610.1
peakSeq.optimal.wgEncodeHaibTfbsHepg2Atf3V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	wgEncodeEH001568	362K	HepG2	ATF3	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsHepg2Atf3V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsHepg2Atf3V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	GSM803503	1a57f2cf235688b701b8a74ba0d526c8	2010-09-15	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsHepg2Atf3V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	PeakSeq	hub	SL1781	bigBed		Myers	exp		SL2386	None	v041610.1
peakSeq.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	wgEncodeEH001641	818K	HepG2	ELF1_-SC-631-	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	GSM803415	3f7a0107533117e45b28e5208eaf97db	2011-01-13	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.bb	PeakSeq	hub	SL1781	bigBed		Myers	exp		SL3645	None	v041610.1
peakSeq.optimal.wgEncodeHaibTfbsK562Taf7sq8V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.bb	wgEncodeEH001654	362K	K562	TAF7_-SQ-8-	ChipSeq	Peaks	peakSeq.optimal.wgEncodeHaibTfbsK562Taf7sq8V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.bb	/home/wespisea/scratch/encodePeakSeq/peakSeq.optimal.wgEncodeHaibTfbsK562Taf7sq8V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.bb	GSM803407	8c49bc99b6b5a5a213861c3ac110388c	2011-01-21	HudsonAlpha	ENCODE Jan 2011 Freeze	http://ftp.ebi.ac.uk/pub/databases/ensembl/encode/integration_data_jan2011/byDataType/peaks/jan2011/peakSeq/optimal/hub/peakSeq.optimal.wgEncodeHaibTfbsK562Taf7sq8V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.bb	PeakSeq	hub	SL2455	bigBed		Myers	exp		SL3274	None	v041610.1
