LncRNA_GeneId	LncRNA_Txid	Hg19_coordinates	No_Exons	LncRNA_tx_size	LncRNA_IntronS_size	category	GeneId_Cod.Pot	Genc_polyA	DiTAG5p3p,DiTAG5p,DiTAG3p
ENSG00000177133.5	ENST00000453118.1	chr1:2976181-2978596	3	1697	717	intergenic	9.83	1	0,0,1
ENSG00000177133.5	ENST00000445317.1	chr1:2976181-2985001	7	4247	4568	intergenic	10.60	1	0,1,1
ENSG00000177133.5	ENST00000415573.1	chr1:2977853-2980246	2	280	2113	intergenic	0	0	0,1,0
ENSG00000177133.5	ENST00000321336.1	chr1:2980636-2984333	2	664	3033	intergenic	12.27	1	0,1,1
ENSG00000226286.1	ENST00000440516.1	chr1:3049491-3050273	2	469	313	intronic	4.79	0	0,0,0
ENSG00000238260.1	ENST00000435049.1	chr1:3539754-3541307	3	622	930	intergenic	-0.29	0	0,1,0
ENSG00000227589.1	ENST00000443034.1	chr1:3575502-3585336	3	754	9079	intronic	3.75	0	0,0,0
ENSG00000235131.1	ENST00000416554.1	chr1:3628764-3630862	2	351	1747	intronic	0	1	0,0,1
ENSG00000227372.4	ENST00000418088.1	chr1:3652548-3663340	6	3329	7459	exonic	29.71	1	0,1,1
ENSG00000227372.4	ENST00000452079.1	chr1:3652548-3663886	4	6358	4978	exonic	29.71	1	1,1,1
ENSG00000244553.1	ENST00000419973.1	chr1:3652739-3654439	3	657	1042	exonic	6.81	0	0,1,0
ENSG00000227372.4	ENST00000423764.1	chr1:3653713-3663900	5	2875	7309	intergenic	29.71	0	1,1,1
ENSG00000227372.4	ENST00000544565.1	chr1:3659683-3662802	2	704	2415	intergenic	0	0	0,1,1
ENSG00000235169.2	ENST00000444870.2	chr1:3689352-3692546	4	546	2646	intergenic	21.72	1	1,1,1
ENSG00000235169.2	ENST00000452264.1	chr1:3689389-3691952	2	447	2116	intergenic	0	0	0,1,0
ENSG00000236423.1	ENST00000413332.1	chr1:3816936-3822096	3	634	4525	intergenic	5.11	0	0,1,0
ENSG00000236423.1	ENST00000442673.1	chr1:3816968-3833789	2	3059	13762	intergenic	12.75	0	1,1,1
ENSG00000236423.1	ENST00000439488.1	chr1:3816980-3832011	4	1940	13089	intergenic	7.30	1	0,1,1
ENSG00000233304.1	ENST00000456897.1	chr1:4000673-4009411	3	561	8176	intergenic	4.18	0	0,0,0
ENSG00000233304.1	ENST00000412674.1	chr1:4000677-4015322	3	3242	11402	intergenic	3.29	0	0,0,0
ENSG00000226374.1	ENST00000425194.1	chr1:4007209-4009040	3	937	893	intergenic	5.79	1	0,1,1
ENSG00000235054.1	ENST00000423197.1	chr1:4472111-4484747	6	2077	10555	intergenic	3.34	1	0,0,1
ENSG00000227169.1	ENST00000438791.1	chr1:4611795-4612205	2	356	54	intergenic	0	0	0,1,0
ENSG00000232596.1	ENST00000420522.1	chr1:4631608-4643481	5	682	11188	intergenic	-2.14	0	0,0,0
ENSG00000231510.1	ENST00000443270.1	chr1:5146519-5150959	4	449	3989	intergenic	2.46	0	0,0,0
ENSG00000236948.1	ENST00000413887.1	chr1:5647428-5728355	2	363	80564	intergenic	2.64	0	0,0,0
ENSG00000226944.1	ENST00000455744.1	chr1:6264900-6265840	3	378	561	intergenic	0	0	0,0,1
ENSG00000225077.2	ENST00000441724.1	chr1:6296300-6299000	5	1138	1559	intergenic	6.16	0	0,1,0
ENSG00000225077.2	ENST00000429480.2	chr1:6297831-6299504	2	1302	371	intergenic	6.16	0	0,0,1
ENSG00000231868.1	ENST00000419034.1	chr1:6503094-6507066	3	351	3620	exonic	0	1	0,0,0
ENSG00000228750.1	ENST00000432429.1	chr1:6784697-6787468	2	1686	1085	intergenic	1.13	0	0,0,1
ENSG00000228750.1	ENST00000414210.1	chr1:6784697-6790072	2	507	4868	intergenic	4.59	1	0,0,1
ENSG00000228750.1	ENST00000421469.1	chr1:6787587-6790072	2	379	2106	intergenic	4.59	1	0,1,1
ENSG00000237436.1	ENST00000442889.1	chr1:6843952-6844903	3	415	535	intergenic	0	1	1,1,1
ENSG00000237365.1	ENST00000456701.1	chr1:7068436-7074339	2	349	5554	intronic	-0.36	0	0,1,1
ENSG00000237402.1	ENST00000427317.1	chr1:7429003-7430331	2	365	963	intronic	0.65	1	0,0,1
ENSG00000237728.1	ENST00000457311.1	chr1:7442548-7449814	3	432	6833	intronic	-4.13	0	0,0,0
ENSG00000237728.1	ENST00000411708.1	chr1:7448243-7449479	2	391	845	intronic	-6.94	1	0,0,0
ENSG00000225126.1	ENST00000440032.1	chr1:7501156-7501614	2	361	97	intronic	-7.32	0	0,1,0
ENSG00000236266.1	ENST00000451646.1	chr1:7870302-7887402	3	830	16269	exonic	6.47	0	1,1,1
ENSG00000225820.1	ENST00000423628.1	chr1:8066074-8066784	2	410	300	intergenic	-5.14	0	0,0,1
ENSG00000238290.1	ENST00000445300.1	chr1:8086798-8182762	3	2044	93919	intergenic	1.47	0	0,1,1
ENSG00000227634.1	ENST00000452982.1	chr1:8268732-8275270	4	497	6039	intergenic	-3.61	1	0,0,1
ENSG00000233645.1	ENST00000424689.1	chr1:8278250-8280589	2	477	1862	intergenic	-0.48	1	0,0,0
ENSG00000232912.1	ENST00000449895.1	chr1:8484705-8494898	4	516	9675	intronic	-1.02	0	0,1,0
ENSG00000232912.1	ENST00000444276.1	chr1:8485698-8490101	3	439	3963	intronic	-1.48	1	0,0,1
ENSG00000228423.1	ENST00000433876.1	chr1:8865919-8867110	2	353	838	intronic	-2.11	0	0,0,0
ENSG00000236269.1	ENST00000414948.1	chr1:8935847-8938066	2	744	1475	intronic	-4.41	0	0,1,0
ENSG00000230679.1	ENST00000442636.1	chr1:8938894-8939953	2	456	603	intergenic	-2.41	1	1,1,1
ENSG00000228526.1	ENST00000437157.1	chr1:9228327-9262678	4	548	33801	intergenic	8.02	0	0,1,1
ENSG00000234546.1	ENST00000412639.1	chr1:9242271-9243855	2	269	1315	intergenic	0	0	0,1,0
ENSG00000235263.1	ENST00000441033.1	chr1:9561151-9563530	2	708	1671	intergenic	-1.31	0	0,1,0
ENSG00000231789.1	ENST00000415330.1	chr1:9739858-9747632	3	983	6790	intronic	1.75	0	1,1,1
ENSG00000223989.1	ENST00000454104.1	chr1:9908376-9910212	3	424	1411	exonic	-0.88	0	1,1,1
ENSG00000234374.1	ENST00000453140.1	chr1:9961518-9962174	2	206	450	intronic	0	0	0,0,0
ENSG00000228150.1	ENST00000445884.1	chr1:10002981-10010032	2	440	6611	intronic	-5.06	0	0,1,0
ENSG00000203469.2	ENST00000424487.1	chr1:10518612-10519395	2	467	316	exonic	-4.54	0	0,1,1
ENSG00000226849.1	ENST00000452378.1	chr1:11128528-11133154	2	2682	1944	exonic	9.56	0	0,1,0
ENSG00000230337.1	ENST00000447600.1	chr1:11159732-11162108	2	487	1889	exonic	0	1	0,1,1
ENSG00000230337.1	ENST00000435388.1	chr1:11159732-11162157	2	440	1985	exonic	0	1	0,1,1
ENSG00000225602.1	ENST00000445982.1	chr1:11203955-11209594	4	705	4932	exonic	2.30	0	0,0,0
ENSG00000225602.1	ENST00000420480.1	chr1:11204481-11209594	4	673	4438	exonic	2.30	0	0,0,0
ENSG00000235643.1	ENST00000453135.1	chr1:11669588-11673412	3	1285	2538	intergenic	6.80	1	0,1,0
ENSG00000177553.6	ENST00000376620.3	chr1:11837134-11839676	3	1868	673	exonic	3.89	0	0,0,0
ENSG00000236997.1	ENST00000442242.1	chr1:11882854-11883337	2	432	51	exonic	-7.66	0	0,0,0
ENSG00000242349.1	ENST00000400892.2	chr1:11903918-11908136	3	936	3281	exonic	0.25	0	0,0,1
ENSG00000229484.1	ENST00000416696.1	chr1:12587766-12588462	2	438	258	intergenic	2.08	0	0,1,1
ENSG00000228338.1	ENST00000438401.1	chr1:12882549-12883022	2	378	95	intergenic	-5.84	0	0,0,0
ENSG00000233336.1	ENST00000437631.1	chr1:13146777-13147256	2	384	95	intergenic	-6.46	0	0,0,0
ENSG00000235800.1	ENST00000451598.1	chr1:13385417-13385903	2	379	107	intergenic	4.75	0	0,1,0
ENSG00000228229.1	ENST00000432559.1	chr1:13429634-13430107	2	378	95	intergenic	-6.55	0	0,0,0
ENSG00000236652.1	ENST00000417907.1	chr1:13650431-13650910	2	384	95	intergenic	-6.55	0	0,0,0
ENSG00000229350.1	ENST00000450259.1	chr1:13839715-13842765	3	477	2572	exonic	4.72	0	0,1,0
ENSG00000237445.1	ENST00000441809.1	chr1:13983806-13987033	2	1007	2220	intergenic	-3.02	0	0,0,0
ENSG00000227612.1	ENST00000420227.1	chr1:14104760-14105625	2	408	457	exonic	1.94	0	0,1,0
ENSG00000231606.1	ENST00000449215.1	chr1:14548386-14549613	2	282	945	intergenic	-1.49	0	0,0,0
ENSG00000234593.1	ENST00000447908.1	chr1:14675450-14677518	2	579	1489	intergenic	-4.14	0	0,1,1
ENSG00000175147.7	ENST00000404665.2	chr1:15442448-15478898	5	2780	33667	exonic	4.10	0	0,1,1
ENSG00000175147.7	ENST00000310916.3	chr1:15442449-15478960	6	2962	33545	exonic	4.10	0	0,1,1
ENSG00000233485.1	ENST00000428747.1	chr1:15653176-15670372	2	3105	14091	exonic	8.32	0	0,0,0
ENSG00000236045.1	ENST00000439788.1	chr1:15660662-15661960	2	727	571	intronic	5.57	0	0,0,0
ENSG00000228140.1	ENST00000427824.1	chr1:15729475-15735929	3	5178	1275	intergenic	4.28	1	0,1,1
ENSG00000237301.1	ENST00000428945.1	chr1:15912631-15930121	2	2845	14645	intergenic	12.20	0	0,1,0
ENSG00000237938.1	ENST00000453804.1	chr1:16049214-16063391	4	645	13530	exonic	8.55	0	0,0,0
ENSG00000224459.1	ENST00000418525.1	chr1:16066546-16076391	2	639	9206	exonic	2.92	0	0,0,1
ENSG00000179743.2	ENST00000535249.1	chr1:16160560-16162355	1	1796	0	intergenic	1.94	0	1,1,1
ENSG00000179743.2	ENST00000317122.1	chr1:16160974-16174642	2	2468	11200	exonic	2.79	0	0,1,1
ENSG00000233078.1	ENST00000437156.1	chr1:16332655-16333166	2	466	45	exonic	0.13	0	0,1,0
ENSG00000227959.1	ENST00000424774.1	chr1:16481706-16483824	2	904	1214	intronic	3.40	1	1,1,1
ENSG00000224621.1	ENST00000426353.1	chr1:16485761-16488378	2	544	2073	intergenic	1.89	0	0,0,0
ENSG00000234166.1	ENST00000457809.1	chr1:16524349-16524852	2	439	64	exonic	-3.94	0	0,1,1
ENSG00000226029.1	ENST00000457898.1	chr1:16787443-16794976	2	3245	4288	intergenic	-1.59	0	0,1,0
ENSG00000224174.1	ENST00000452795.1	chr1:16847189-16848303	2	342	772	intergenic	0.25	0	0,1,1
ENSG00000241374.1	ENST00000427204.1	chr1:16859035-16861505	3	693	1776	intergenic	0.20	0	0,0,0
ENSG00000233421.2	ENST00000415386.2	chr1:16860381-16862144	2	1548	215	intergenic	4.49	0	0,0,0
ENSG00000219481.3	ENST00000392963.3	chr1:16888818-16931427	18	4295	38298	intergenic	65.95	0	0,0,1
ENSG00000219481.3	ENST00000401007.3	chr1:16888923-16892211	3	1955	1332	intergenic	1.77	0	0,0,1
ENSG00000219481.3	ENST00000430580.1	chr1:16892131-16940083	19	3076	44859	intergenic	64.25	0	0,1,0
ENSG00000219481.3	ENST00000420031.2	chr1:16892935-16901051	6	531	7581	intergenic	-2.60	0	0,1,0
ENSG00000219481.3	ENST00000432949.1	chr1:16892935-16905862	9	1069	11851	intergenic	40.39	0	0,0,0
ENSG00000219481.3	ENST00000287968.8	chr1:16895583-16902975	5	694	6695	intergenic	-3.16	0	0,0,1
ENSG00000219481.3	ENST00000420513.1	chr1:16920057-16935145	4	488	14598	intergenic	4.76	0	0,0,0
ENSG00000219481.3	ENST00000449853.1	chr1:16931913-16940029	3	2743	5372	intergenic	4.76	0	1,1,1
ENSG00000215908.4	ENST00000540383.1	chr1:16944751-16957401	7	1765	10880	intergenic	46.64	0	0,0,1
ENSG00000215908.4	ENST00000412962.1	chr1:16944757-16961054	8	2763	13528	intergenic	46.64	0	0,0,1
ENSG00000245549.1	ENST00000501442.1	chr1:16946910-16951432	2	2866	1656	intergenic	1.81	0	0,0,0
ENSG00000215908.4	ENST00000421700.1	chr1:16947340-16971167	11	5934	17884	intergenic	46.64	0	0,1,0
ENSG00000215908.4	ENST00000362058.2	chr1:16956165-16971178	6	2029	12980	intergenic	21.89	0	0,1,1
ENSG00000256048.1	ENST00000535991.1	chr1:16973894-16975897	2	1913	90	intergenic	7.50	0	0,0,0
ENSG00000223643.1	ENST00000414340.1	chr1:17177698-17179294	3	608	987	intergenic	2.31	0	0,0,0
ENSG00000223643.1	ENST00000422345.1	chr1:17177816-17179624	4	735	1071	intergenic	-2.96	0	0,0,0
ENSG00000230239.1	ENST00000414128.1	chr1:17181902-17185779	3	882	2994	intergenic	0.93	0	0,0,1
ENSG00000228549.1	ENST00000438002.1	chr1:17197440-17200574	2	2520	614	exonic	7.33	1	0,0,0
ENSG00000228549.1	ENST00000451828.1	chr1:17198753-17200536	2	434	1349	intergenic	-4.74	1	0,1,0
ENSG00000228549.1	ENST00000453554.1	chr1:17198779-17200539	2	1546	214	intergenic	5.73	1	0,1,0
ENSG00000228549.1	ENST00000457856.1	chr1:17199534-17200587	2	475	578	intergenic	-2.95	1	0,0,0
ENSG00000238142.1	ENST00000422124.1	chr1:17215033-17215868	2	406	429	intergenic	0.25	1	0,0,1
ENSG00000238142.1	ENST00000416869.1	chr1:17215037-17216137	2	336	764	intergenic	0.25	1	1,1,1
ENSG00000238142.1	ENST00000457075.1	chr1:17215037-17216144	2	346	761	intergenic	0.25	1	1,1,1
ENSG00000226526.1	ENST00000446261.1	chr1:17305421-17331586	2	636	25529	exonic	-6.92	0	0,1,0
ENSG00000204362.4	ENST00000412427.1	chr1:17516278-17524112	3	4676	3157	intergenic	3.58	0	1,1,1
ENSG00000204362.4	ENST00000539219.1	chr1:17516278-17524112	4	4600	3232	intergenic	3.58	0	1,1,1
ENSG00000227751.1	ENST00000439577.1	chr1:17733256-17733878	2	311	311	exonic	-3.20	0	1,1,1
ENSG00000236648.1	ENST00000430540.1	chr1:18044182-18076473	4	610	31679	intergenic	0.81	1	0,1,0
ENSG00000230035.1	ENST00000419667.1	chr1:18493423-18505840	4	433	11982	intronic	0.87	0	0,1,0
ENSG00000225387.1	ENST00000420211.1	chr1:18712323-18715008	2	491	2194	intergenic	3.46	0	0,0,1
ENSG00000230424.1	ENST00000437898.1	chr1:19536995-19567198	2	507	29696	exonic	-6.75	0	1,1,1
ENSG00000235185.1	ENST00000416470.1	chr1:19918296-19923326	2	207	4823	intergenic	0	1	0,1,0
ENSG00000235434.1	ENST00000454736.1	chr1:20140860-20145995	2	447	4688	exonic	10.28	1	0,0,0
ENSG00000227066.1	ENST00000417884.1	chr1:20480831-20487061	2	1083	5147	intergenic	5.66	1	0,0,0
ENSG00000227066.1	ENST00000431027.1	chr1:20484185-20487059	2	2493	381	intergenic	5.66	1	0,0,0
ENSG00000225986.1	ENST00000442226.1	chr1:20510735-20512979	2	510	1734	intronic	-1.08	0	1,1,1
ENSG00000228105.1	ENST00000435552.1	chr1:20569588-20571148	2	480	1080	intergenic	3.92	1	0,0,0
ENSG00000226664.1	ENST00000444923.1	chr1:20620704-20649680	2	229	28747	intronic	-0.16	0	0,1,0
